TASK        STATUS  STAGE  PROGRESS  CHANGES  LAST ACTIVE  TITLE
a/closed12  closed  -      -         -        -            Closed 12
a/closed11  closed  -      -         -        -            Closed 11
a/closed10  closed  -      -         -        -            Closed 10
a/closed09  closed  -      -         -        -            Closed 09
a/closed08  closed  -      -         -        -            Closed 08
a/closed07  closed  -      -         -        -            Closed 07
a/closed06  closed  -      -         -        -            Closed 06
a/closed05  closed  -      -         -        -            Closed 05
a/closed04  closed  -      -         -        -            Closed 04
a/closed03  closed  -      -         -        -            Closed 03
